threads,rate,timeout,
1, 5,60,
time,txt_count,latency,outstanding
21:42:18,0,0,1
21:42:20,1,2.02673,9
21:42:22,7,22.3094,12
21:42:24,0,0,21
21:42:26,28,98.383,3
21:42:28,5,10.2472,7
21:42:30,4,12.4037,13
21:42:32,5,20.7985,17
21:42:34,20,70.9238,7
21:42:36,5,14.6313,12
21:42:38,17,45.0104,4
21:42:40,6,13.522,8
21:42:42,5,15.4888,12
21:42:44,15,45.0486,7
21:42:46,8,20.7474,8
21:42:48,10,27.0134,8
21:42:50,4,12.954,14
21:42:52,18,52.8801,5
21:42:54,13,22.3383,2
21:42:56,0,0,11
threads,rate,timeout,
1, 5,60,
time,txt_count,latency,outstanding
21:43:19,0,0,1
21:43:21,4,6.87177,6
21:43:23,8,19.6111,8
21:43:25,8,22.2999,9
21:43:27,12,32.5087,7
21:43:29,12,26.4245,5
21:43:31,2,5.4798,12
21:43:33,13,41.3918,9
21:43:35,17,35.0712,1
21:43:37,1,2.17416,10
21:43:39,13,35.3583,7
21:43:41,8,20.2273,8
21:43:43,10,26.4726,8
21:43:45,10,25.5779,7
21:43:47,12,27.1301,5
21:43:49,4,10.3504,10
21:43:51,18,41.3121,2
21:43:53,4,7.92248,7
21:43:55,14,29.381,3
21:43:57,5,10.5634,8
threads,rate,timeout,
1, 10,60,
time,txt_count,latency,outstanding
21:44:20,0,0,1
21:44:22,12,17.2168,7
21:44:24,8,18.6511,17
21:44:26,29,66.805,7
21:44:28,1,2.66296,24
21:44:30,31,90.9672,11
21:44:32,7,19.9718,23
21:44:34,28,82.7366,13
21:44:36,24,50.9924,7
21:44:38,7,16.9861,19
21:44:40,25,67.307,12
21:44:42,2,6.43414,28
21:44:44,36,113.317,11
21:44:46,14,33.9679,15
21:44:48,19,49.9045,15
21:44:50,24,54.9505,9
21:44:52,4,11.0362,23
21:44:54,15,55.8892,27
21:44:56,28,94.6857,17
21:44:58,22,58.4912,13
